,original,duplicate
422,669590,"{669590: 107.30242318559334, 585130: 65.74607952439553, 586893: 63.681762183785864, 576654: 62.605110953267435, 652013: 61.86861828076158}"
423,669591,"{669591: 119.99770982949462, 804075: 59.96719814545923, 669476: 59.80841980441676, 638436: 56.271896541306695, 477012: 55.01785272503045}"
424,669594,"{669594: 143.8478259096708, 800121: 60.62997731980954, 741210: 57.328302631501586, 677946: 57.023992611696215, 432946: 56.29682762254808}"
425,669629,"{669629: 40.676536318279084, 261231: 14.452916270367293, 602761: 14.271694343399385, 419183: 14.254463889678831, 604641: 14.14978667695895}"
426,669638,"{669638: 211.8600811145395, 527544: 38.6965627968445, 587169: 38.53285437664012, 882571: 37.30303958090879, 581703: 36.452784060677324}"
427,669652,"{669652: 44.12259004337311, 703031: 22.809919732218248, 681651: 20.247137968231204, 586776: 18.380920821540677, 762499: 18.29143848694352}"
428,669686,"{669686: 190.24726616608, 291291: 62.31137783374277, 367017: 61.01073535660165, 606951: 60.12033171611416, 284834: 60.04519297956093}"
429,669733,"{669733: 128.5961008601188, 672614: 34.21547709012312, 406487: 33.658374509685935, 470117: 31.197635754248378, 420034: 30.80820425293128}"
430,669832,"{669832: 169.86469672752105, 702226: 63.414881395951156, 670859: 57.756865672809795, 670861: 57.756865672809795, 674747: 55.95609983593314}"
431,669850,"{669848: 139.87115357766817, 669850: 139.87115357766817, 804568: 67.02529762732595, 714532: 65.04713363778222, 901833: 63.95667845303121}"
432,669860,"{669860: 134.1658897891697, 903196: 67.34523821018131, 889065: 62.05141859049732, 640903: 59.877701858090404, 670859: 59.14418325552198}"
433,669861,"{669861: 110.10333559502129, 692829: 62.75476707185169, 616318: 32.79821508792703, 713385: 26.95417522105177, 611032: 25.44190346005585}"
434,670054,"{670054: 159.43267375857926, 558585: 36.64565814404308, 644240: 34.42331028442658, 393527: 32.708459799527944, 430766: 32.52825814465716}"
435,670117,"{670117: 137.9650081948111, 680014: 70.49773275833999, 649296: 69.05335125528279, 752057: 67.70033420934895, 650588: 67.66129667417147}"
436,670133,"{670133: 163.12976227389473, 324259: 61.72677825023858, 655797: 61.15350390546563, 375610: 60.26748699253453, 685491: 60.012160174092024}"
437,670272,"{670272: 183.9247715036575, 606727: 32.783625339458425, 596904: 30.848587948959665, 490572: 29.89153817558462, 466421: 27.538676002454917}"
438,670298,"{670298: 87.54210554819423, 673839: 39.60707174060516, 642615: 36.41286227562805, 505036: 36.235443934015585, 668019: 35.4575621583261}"
439,670308,"{670308: 125.38743531439422, 801294: 65.73582130539361, 674213: 65.52069270910373, 645654: 65.29567094336899, 921387: 63.84040580517247}"
440,670503,"{670503: 240.1972005227867, 720284: 68.72576997033764, 577618: 65.0895524379107, 505036: 63.98514519641909, 418764: 63.76596201435309}"
441,670518,"{670518: 123.72435272926792, 904738: 64.08761250287375, 674773: 61.94878301194109, 899429: 58.90735071771866, 938781: 58.836856424805944}"
442,670545,"{670545: 127.88101499502986, 670548: 110.62924971384034, 670546: 100.96807231743693, 670547: 94.18705050011343, 670549: 94.18705050011343}"
443,670546,"{670546: 125.87333616820833, 670548: 112.40072166945843, 670545: 99.7721795396392, 670547: 77.82297114112977, 670549: 77.82297114112977}"
444,670547,"{670547: 126.35074823882613, 670549: 126.35074823882613, 670545: 95.30262704693541, 670548: 86.12214423296507, 670538: 84.65473401285311}"
445,670548,"{670548: 161.12299181572206, 670546: 125.87333616820833, 670545: 122.42215077042586, 670547: 94.18705050011343, 670549: 94.18705050011343}"
446,670549,"{670547: 126.35074823882613, 670549: 126.35074823882613, 670545: 95.30262704693541, 670548: 86.12214423296507, 670538: 84.65473401285311}"
447,670579,"{670579: 90.39010313974855, 782726: 53.186336063450085, 675147: 52.713514005080924, 818405: 51.67510258742689, 693401: 50.38737018537018}"
448,670729,"{670729: 142.98580201561498, 864935: 63.3213737084315, 658980: 62.2354491394537, 858880: 61.37361860888606, 439013: 61.19220264619596}"
449,670818,"{670818: 180.08000480241643, 666955: 72.13067225333512, 668713: 70.93328025361677, 439391: 58.61013585236426, 871401: 56.84606320675974}"
450,670852,"{670852: 225.3914433170585, 670851: 87.27882692403358, 733329: 80.71924965403404, 706759: 77.56506661968945, 706734: 66.3433003843198}"
451,670979,"{670979: 148.25762679054577, 672752: 75.93753398665305, 669488: 64.64175224397898, 759185: 59.872972658308484, 674747: 59.70163485286687}"
452,671202,"{671202: 109.58846079208534, 670617: 59.98588946488371, 648505: 54.23738971166944, 674079: 52.19490624523602, 625479: 52.065620769547984}"
453,671238,"{671238: 133.95760278081673, 671243: 71.59750433045033, 671240: 62.06981197262756, 642883: 60.171740173213706, 629334: 52.54551903355535}"
454,671262,"{671262: 113.45496989383666, 775058: 63.56143694546725, 779452: 62.929688252613424, 783153: 62.676300746133265, 811273: 61.40557770770263}"
455,671448,"{671448: 185.93243281864716, 734813: 64.9007531163789, 747542: 62.341954499788244, 378177: 57.960243070877986, 892923: 57.847550246811124}"
456,671540,"{671540: 278.4939579430156, 701352: 67.79612399320021, 860336: 64.47725851976867, 712626: 63.885219333779226, 672372: 63.77806315982282}"
457,671553,"{671553: 96.96140866555963, 679801: 40.402391424998115, 864520: 33.81810091124709, 889610: 31.588295303475054, 700246: 30.627955606470675}"
458,671588,"{671588: 104.30670338641809, 928849: 61.61110405661702, 858924: 61.55552884405384, 676555: 61.5173434752449, 811255: 61.03505879057114}"
459,672018,"{672018: 130.57918918669526, 669488: 63.84732863337641, 674747: 61.40322946211064, 676044: 60.693704478485, 440746: 60.09447519580365}"
460,672088,"{672088: 216.6662091606482, 651033: 51.07663375402708, 253291: 50.98222266393329, 472096: 50.372638381029546, 540127: 49.36675941609824}"
461,672095,"{672095: 140.3593541765193, 674824: 58.694447100091324, 676328: 58.29880267310826, 912397: 57.7137386662501, 918276: 57.137572661940816}"
462,672141,"{672141: 145.21681407514515, 675146: 63.701451114471155, 668768: 63.37512972394846, 669488: 61.239992242540055, 667477: 60.88521145759836}"
463,672148,"{672148: 149.91767464677488, 645797: 57.62317731674815, 644998: 54.342829624497575, 499626: 53.657898985672276, 645924: 53.53440547563039}"
464,672156,"{672156: 110.63206247520397, 672168: 107.38347156430855, 734462: 65.03946574829517, 632973: 64.86204630920982, 512912: 63.27910572396666}"
465,672168,"{672168: 117.42324628720424, 672156: 107.38347156430855, 734462: 65.03946574829517, 632973: 64.86204630920982, 536195: 60.86784503731307}"
466,672177,"{672177: 183.64006950064487, 404402: 41.57602122437103, 419250: 40.95972492565986, 515785: 38.44956809344072, 872455: 35.99466962595392}"
467,672180,"{672180: 131.27448727597246, 518086: 60.90066018792585, 729818: 59.49389411780405, 748876: 59.194148695378736, 679242: 59.016004643938516}"
468,672445,"{672445: 16.16313835365239, 676190: 16.16313835365239, 686266: 16.16313835365239, 689510: 16.16313835365239, 705628: 16.16313835365239}"
469,672470,"{672470: 55.95521558276629, 697761: 19.4262949999648, 717892: 19.053237357409994, 237190: 18.767237154557264, 692028: 17.971113341060075}"
470,672478,"{672478: 36.41732746077448, 752847: 16.39331824527916, 668254: 14.381036728280156, 626843: 12.912674232923685, 283675: 12.467605806886942}"
471,672614,"{672614: 107.01413634351134, 669733: 29.86080332592622, 311676: 23.172299840299814, 417965: 22.83003164313874, 437603: 22.633162132513814}"
472,672727,"{672727: 71.58240053712191, 693559: 52.50588223427056, 731844: 52.50588223427056, 787641: 52.50588223427056, 787642: 52.50588223427056}"
473,672748,"{672748: 107.47703499860818, 626755: 25.811928230247187, 927815: 25.3812677195072, 731153: 25.30362433381491, 936421: 25.26454270645003}"
474,672752,"{672752: 136.96140551925023, 670979: 78.42922170690616, 759185: 63.320163591880416, 675851: 61.62538019818841, 669488: 61.239992242540055}"
475,672776,"{672776: 124.2202586747436, 759070: 65.23502124774593, 675156: 62.8148637997212, 684849: 62.724375007060715, 669488: 62.01175842995366}"
476,672780,"{672780: 136.00846304498862, 727859: 63.101158384865265, 672459: 60.019030101406784, 799456: 59.629667388515145, 901974: 58.388134428624205}"
477,672794,"{672794: 194.39210321759455, 630171: 47.893106848641345, 597498: 39.08032315432242, 586486: 38.27679973750232, 623350: 36.55041295178178}"
478,672806,"{672806: 46.04991598971786, 807274: 23.63960317593374, 663834: 21.061642890539066, 672005: 21.002380332045014, 677921: 20.69987892822308}"
479,672924,"{672924: 143.77027842514897, 355723: 52.22368780230809, 220300: 49.13093136756134, 312559: 49.10635953382142, 888699: 48.91543907275481}"
480,673016,"{673016: 327.4111033306871, 674413: 179.11775465477567, 670842: 168.75996272828445, 666325: 56.867939986925926, 572025: 51.7509175532045}"
481,673041,"{673041: 60.1956392682064, 881674: 46.3273362730809, 747814: 45.69642321893326, 881679: 45.69642321893326, 877129: 45.64801080202876}"
482,673065,"{673065: 192.32274500961051, 668472: 68.64925315067835, 491856: 68.54705530939508, 318462: 67.20702351121987, 452280: 66.41352332294512}"
483,673099,"{673099: 115.4398121382943, 674747: 64.16832408738634, 676758: 62.75691519945726, 670693: 62.0865830544603, 675146: 60.46981506044503}"
484,673127,"{673127: 39.2720875463622, 673129: 30.039084362566058, 699121: 20.88483636112851, 687708: 19.37703214482959, 865803: 18.10205866766586}"
485,673129,"{673129: 44.80367324069368, 673127: 30.039084362566058, 935176: 27.29519485353363, 583041: 25.00902048251253, 949673: 24.215761747108548}"
486,673130,"{673130: 257.35484130778804, 676170: 78.21708465279485, 747921: 70.82521236857465, 296275: 69.07284369356532, 592549: 67.52447756420648}"
487,673134,"{673134: 145.98976584316216, 673150: 67.90303716665925, 673151: 67.90303716665925, 673147: 67.31609960544802, 674560: 66.9704538862828}"
488,673147,"{673147: 121.30038189791195, 681614: 70.24038725654785, 673150: 65.59948788801957, 673151: 65.59948788801957, 734462: 65.59948788801957}"
489,673150,"{673150: 131.88930943043877, 673151: 131.88930943043877, 700014: 71.48420912205958, 673147: 67.31609960544802, 734462: 65.59948788801957}"
490,673151,"{673150: 131.88930943043877, 673151: 131.88930943043877, 700014: 71.48420912205958, 673147: 67.31609960544802, 734462: 65.59948788801957}"
491,673196,"{673196: 210.07084531155348, 443697: 55.12981485886274, 627319: 55.09522241988446, 702004: 52.20919411145282, 624407: 51.9671237316852}"
492,673213,"{673213: 629.4496715971684, 666325: 116.01326083243252, 674413: 103.91691132615831, 673016: 86.49860057335135, 814316: 77.74699717827039}"
493,673328,"{673328: 252.81264313418717, 691060: 68.1805951443549, 343619: 68.08422497743261, 583432: 65.7865538126776, 391070: 64.92908198453007}"
494,673356,"{673356: 151.88856569762487, 318945: 62.05554020348197, 514911: 61.43886161720378, 755160: 60.884523893318175, 329421: 60.51794601130945}"
495,673520,"{673520: 110.46571459841653, 252429: 53.58304955556273, 292463: 53.21171820672845, 700982: 53.11157923819934, 644408: 53.098394489816165}"
496,673661,"{673661: 71.73710222623754, 670865: 43.083867617000585, 670859: 38.91997013628253, 660521: 36.84058555294558, 662137: 36.84058555294558}"
497,673683,"{673682: 196.30484097090837, 673683: 196.30484097090837, 673686: 196.30484097090837, 673687: 196.30484097090837, 678391: 68.12912603268093}"
498,673686,"{673682: 196.30484097090837, 673683: 196.30484097090837, 673686: 196.30484097090837, 673687: 196.30484097090837, 678391: 68.12912603268093}"
499,673687,"{673682: 196.30484097090837, 673683: 196.30484097090837, 673686: 196.30484097090837, 673687: 196.30484097090837, 678391: 68.12912603268093}"
500,673744,"{673744: 140.49268478207208, 686101: 59.72696814991511, 674773: 58.84764041558167, 674079: 57.32147627121324, 681220: 56.69925035425449}"
501,673750,"{673750: 77.53015984585531, 252463: 24.32813524764712, 444083: 22.009691341592518, 283953: 19.950878480583178, 294213: 18.94492776457053}"
502,673830,"{673830: 199.37247000015608, 292095: 33.43228833664773, 701251: 32.04555116391632, 684645: 31.882248433014936, 640388: 27.847815146903812}"
503,673839,"{673839: 106.6953914894144, 670298: 43.18776346439604, 223277: 42.10195609514384, 456172: 38.10085959652235, 599793: 37.83419623153178}"
504,673912,"{673912: 101.33631366773227, 500143: 39.47032477698154, 443326: 38.09650680207193, 282467: 37.5262600924345, 562830: 37.398742973343694}"
505,674137,"{674137: 185.76260477923978, 737757: 80.97807077225801, 355445: 76.04202709435151, 821751: 75.00928739726962, 496290: 74.58646625112983}"
506,674194,"{674194: 117.2676585351916, 673859: 82.21330556607097, 921639: 49.246961109045166, 678098: 48.465769631702784, 739400: 47.47596159290478}"
507,674413,"{674413: 366.99992640306345, 670842: 220.0257835037805, 673016: 185.78700402019697, 666325: 87.83475254906928, 814316: 73.04243006049965}"
508,674454,"{674454: 170.80225200416743, 592407: 70.75546028443375, 684528: 63.546346651414204, 518877: 48.36507473618762, 233709: 47.30020719821055}"
509,674560,"{674560: 142.4599650557644, 673147: 67.31609960544802, 673150: 65.59948788801957, 673151: 65.59948788801957, 734462: 65.59948788801957}"
510,674745,"{674745: 135.45002146287436, 310906: 60.4150107586608, 336329: 60.200694420801454, 667477: 59.511716530573544, 669488: 58.77366998436037}"
511,674747,"{674747: 104.55180530573277, 676044: 62.039745950950376, 667477: 60.13806631657374, 674235: 60.13566713590342, 670219: 59.14558989050291}"
512,674773,"{674773: 120.74269678419832, 676044: 64.43740179016028, 678425: 62.18702096829912, 670518: 61.94878301194109, 761735: 60.42241978959297}"
513,674809,"{674809: 132.17989350977624, 674833: 64.1453752016147, 422891: 61.68880046436781, 414483: 58.248666381426915, 674823: 57.244735879749264}"
514,674821,"{674821: 194.20366414576378, 924803: 78.95802679575776, 641353: 67.51711131822144, 912761: 67.04572339401207, 788501: 66.62414240330003}"
515,674833,"{674833: 123.28812598109842, 674723: 72.528321190337, 674823: 63.227713714295625, 674809: 60.63744275350142, 257057: 60.58396975620139}"
516,674907,"{674907: 121.3883921002295, 561481: 52.96710719356834, 439995: 39.63817845106466, 277488: 38.064714432488785, 454741: 35.05324761020977}"
517,674940,"{674940: 94.97121706676623, 683390: 25.70095353140739, 786291: 23.098343797722094, 311438: 23.02582075214232, 620504: 22.90622290723837}"
518,675007,"{675007: 217.38083170484217, 428699: 61.44126965884442, 681601: 53.7358345064767, 607617: 52.858074207666796, 505980: 51.983841446614115}"
519,675024,"{675024: 121.1203149594739, 685546: 59.77293201786236, 886190: 58.462876603629645, 822065: 58.2889605713539, 822066: 58.2889605713539}"
520,675113,"{675113: 176.81648319118437, 700161: 37.68076535454395, 575906: 35.19504726512344, 777901: 34.844630236657196, 642610: 33.864390146164595}"
521,675146,"{675146: 118.22972101594021, 674747: 64.29407256883673, 673099: 61.822168142538914, 670219: 59.13823187429524, 673654: 59.0731820372981}"
522,675182,"{675182: 151.35158586950078, 676758: 59.51504195577869, 673615: 58.627851789437834, 348323: 58.25702201639652, 669832: 58.06953733463898}"
523,675444,"{675444: 76.62184557337596, 675438: 35.90680426018668, 429279: 24.890283711778167, 521747: 22.504748984817162, 399819: 21.81925934661785}"
524,675486,"{675486: 184.581081591725, 415546: 68.20934160865356, 203606: 67.64023151571035, 217819: 66.40118142288549, 242242: 65.58915387644538}"
525,675505,"{675505: 152.12008321935778, 671235: 72.5960631932371, 675496: 69.11629652265928, 608204: 67.14621624330628, 297474: 60.16378885943941}"
526,675557,"{675557: 103.58303029718108, 676555: 61.5173434752449, 799044: 60.6795639226664, 799045: 59.07064596390951, 928849: 59.07064596390951}"
527,675569,"{675569: 157.79710228835847, 484777: 36.58626585804814, 592272: 33.802307354179774, 463769: 32.759814522140076, 706188: 32.33631359048945}"
528,675573,"{675573: 191.0021817472374, 762415: 65.18196099071343, 769140: 64.21673998578842, 945008: 63.75477003680117, 865103: 63.40715838047609}"
529,675601,"{675601: 151.72470868852622, 675904: 64.62522002465191, 888813: 55.90439021928951, 744780: 55.61712832937176, 760000: 55.25783102032375}"
530,675772,"{675772: 217.51527451001164, 704793: 66.17556962706132, 298317: 64.91548349335088, 540282: 64.45322388908274, 666354: 64.3083701584776}"
531,675904,"{675904: 101.91959813864398, 675601: 54.941366526276894, 304662: 53.32563092461519, 316769: 51.36572658853708, 281721: 50.71994705160748}"
532,676028,"{676028: 71.54189829272536, 746466: 27.873084689110286, 539497: 25.33045362388743, 321208: 24.79994283592458, 285100: 24.2571792032246}"
533,676044,"{676044: 84.01567542937158, 690295: 67.52460334651525, 673524: 64.00240460924873, 678425: 62.329528033724934, 667477: 61.85134434565688}"
534,676170,"{676170: 335.7733379333926, 673130: 90.6890111264892, 296275: 83.35430978550615, 327741: 78.14466555940456, 413618: 76.88850063116794}"
535,676175,"{676175: 68.7419044119498, 676176: 21.650319431111306, 788442: 18.88982140468476, 677917: 18.699231054728934, 807274: 18.376328519246744}"
536,676176,"{676176: 63.283413742829296, 566082: 24.98703084149989, 566084: 24.57103447218156, 807274: 23.211918047547435, 676175: 22.302152463751646}"
537,676190,"{672445: 16.16313835365239, 676190: 16.16313835365239, 686266: 16.16313835365239, 689510: 16.16313835365239, 705628: 16.16313835365239}"
538,676210,"{676210: 165.52679651270637, 289055: 36.27647188214469, 322796: 34.922997066229264, 382447: 34.230306179837775, 254633: 34.22694199696999}"
539,676225,"{676225: 244.83159788925965, 292982: 13.974542343213885, 577218: 13.28807749839032, 446704: 8.352946273123472, 843741: 8.352946273123472}"
540,676229,"{676229: 41.76054037667306, 338998: 16.106476795322134, 262710: 15.642068213275527, 814711: 14.02961871067107, 450552: 13.974648762843858}"
541,676504,"{676504: 227.3064353130074, 676492: 107.2620010688368, 676494: 102.85435226767245, 676909: 98.18632665465367, 607617: 55.66499778567388}"
542,676551,"{676551: 80.78218683132246, 615704: 18.89092474701612, 367591: 18.766489623703755, 603297: 18.048355767226578, 631932: 17.88139983054657}"
543,676555,"{676555: 67.57387126721875, 799044: 60.6795639226664, 934382: 59.96896220294684, 934385: 59.184326327623175, 799045: 59.07064596390951}"
544,676677,"{676677: 73.55320173660003, 676679: 72.55151075060348, 842595: 26.842227133418806, 857423: 26.77891087746117, 727106: 26.446009361678687}"
545,676679,"{676679: 84.61640084951961, 676677: 73.55320173660003, 842595: 37.721801433626474, 632601: 28.405389270021324, 857423: 26.77891087746117}"
546,676758,"{676758: 116.29791718648099, 680014: 65.20045182799353, 706772: 62.069600568476595, 649296: 60.72631704183041, 673099: 58.546409134182156}"
547,676766,"{676766: 155.47399626425997, 693706: 54.08739477005991, 420598: 53.16062638334234, 430659: 51.197948447005736, 446221: 50.50231125427639}"
548,676788,"{676788: 94.93677312523252, 676787: 59.9661077900544, 677914: 53.53979924851213, 670926: 53.23490203906296, 439772: 52.45611209378366}"
549,676881,"{676881: 165.50766494858058, 691884: 63.165360744325916, 761451: 62.827077199795816, 673099: 61.82707815282852, 669488: 61.239992242540055}"
550,676909,"{676909: 158.7741661997946, 676492: 101.69374369126392, 676504: 91.88081397817031, 676494: 74.01771229270994, 773580: 59.27104413768866}"
551,677029,"{677029: 138.49855230277473, 696638: 65.09199644702933, 700428: 61.81400133871791, 671984: 60.20910112403364, 331083: 60.17571149123811}"
552,677058,"{677058: 99.4102871025874, 677059: 64.96455923664998, 677060: 59.16444903102327, 906278: 55.46526186496456, 835221: 54.352051697934215}"
553,677067,"{677067: 122.06749316697042, 717703: 58.87858143860545, 922513: 58.132460429886784, 812778: 57.65678273258589, 678441: 56.82503451537469}"
554,677090,"{677090: 177.84547348836279, 680038: 58.99618649540161, 723926: 44.89827093092179, 682099: 43.742567087540074, 801786: 40.89227966564745}"
555,677110,"{677110: 144.83700638812093, 670693: 59.05756639007547, 669488: 58.77366998436037, 675643: 58.68774808344015, 676044: 58.152857147858924}"
556,677157,"{677157: 116.85997243896296, 689080: 59.48699280269706, 736967: 59.48699280269706, 768359: 59.48699280269706, 671501: 58.665678623874}"
557,677169,"{677169: 60.69077456625978, 683828: 44.15323385397466, 688714: 44.15323385397466, 798726: 42.84361302569638, 768904: 42.217510180843185}"
558,677177,"{677177: 84.25122276854148, 801529: 53.93645406448021, 801530: 53.93645406448021, 864260: 53.48869757635658, 809299: 52.28023412985131}"
559,677190,"{677190: 79.65142149718754, 800314: 38.6119613468394, 253577: 38.15998431493537, 274534: 37.644063672109, 274535: 37.644063672109}"
560,677497,"{677497: 106.36662825755943, 663366: 48.293681647976655, 669283: 45.52595506472233, 679085: 44.11567717787326, 822536: 43.475594853951606}"
561,677681,"{677681: 142.86401518493912, 677680: 139.61842791917312, 858902: 76.87918948436257, 879141: 73.08306706242766, 674145: 70.53722687280289}"
562,677702,"{677702: 131.4374278129102, 720805: 57.591611757830755, 728259: 57.199734910494136, 684739: 56.55594500011372, 734662: 55.98785663460262}"
563,677846,"{677846: 182.15273954827092, 265335: 63.198370289279126, 614827: 62.07879970559327, 336329: 55.889380923326954, 265502: 55.88455397994239}"
564,677921,"{677921: 79.61737239170789, 672005: 24.73774535074196, 677917: 24.052394373091083, 807274: 23.360817349788142, 590298: 22.67688971305975}"
565,677927,"{677927: 127.82618694242265, 717369: 41.44927429635108, 716516: 33.24594535596168, 691978: 32.14082782290471, 654068: 31.04079777744747}"
566,678098,"{678098: 167.51756423843625, 678826: 66.91222569697254, 674194: 54.24858166050373, 807420: 52.65416612822965, 932302: 49.099211478607714}"
567,678124,"{678124: 208.23179406478616, 859496: 78.0413567629752, 859500: 77.28681663490222, 280399: 72.25953792222529, 298307: 68.85197916130772}"
568,678138,"{678138: 151.74006596521534, 832894: 81.07921915190863, 711010: 80.51786201953558, 734462: 79.9656734170066, 749148: 77.977195645394}"
569,678143,"{678143: 162.84467457978587, 855209: 55.13715906753502, 770914: 54.259967368518865, 685507: 53.349766869563325, 903848: 52.788001254002886}"
570,678145,"{678145: 104.14753481947365, 673301: 41.538626842717775, 433317: 35.485033700293094, 429808: 35.40068501715901, 485091: 35.117042524505685}"
571,678185,"{678185: 153.90907384304862, 694511: 60.15145548718913, 685491: 59.80310849993606, 636791: 59.31696568217603, 668132: 59.16419064418186}"
572,678391,"{678391: 129.85480003339697, 674908: 65.34140073415863, 682532: 62.86559057822323, 724187: 61.029327124092426, 916654: 59.866034336017705}"
573,678425,"{678425: 97.104816175372, 676044: 65.50842873627892, 675851: 62.508011876224614, 667477: 61.29639823393723, 670859: 57.756865672809795}"
574,678468,"{678468: 174.6356997779876, 678491: 62.58046356656921, 679406: 60.92355483389474, 810479: 55.94296809386358, 295376: 55.39986688056736}"
575,678491,"{678491: 124.67994882170224, 679406: 57.069396214568336, 678468: 56.420230369216185, 549313: 55.14467239573961, 830454: 54.67792416370892}"
576,678633,"{678633: 143.91006597302675, 678634: 69.75917763630787, 678627: 62.07117828969973, 679085: 57.93916309750038, 678737: 57.930840092343075}"
577,678733,"{678733: 122.23249899553636, 675851: 62.4915981327798, 844651: 60.468963231781004, 759070: 59.96622439843061, 669488: 59.35010254247146}"
578,678737,"{678737: 180.6451939429418, 678633: 72.3432838398375, 678634: 66.75654350064892, 693552: 62.675007032874134, 633962: 61.17089939888405}"
579,678764,"{678764: 103.25750873791293, 680387: 35.76646723973205, 253066: 28.671724058002663, 420396: 27.40358960997067, 493485: 25.864676016487785}"
580,678826,"{678826: 149.6469745729961, 678098: 66.11969944960786, 901996: 63.725592227474564, 675927: 55.91370303372147, 714272: 54.48903564275924}"
581,678841,"{678841: 176.41976539388466, 237747: 60.13436160960474, 678491: 59.82325946742656, 404601: 59.56377430579014, 245996: 57.0670591702177}"
582,678849,"{678849: 136.43282686629595, 682877: 58.667076116305694, 679085: 56.17669584130856, 462274: 48.64292364778335, 748713: 48.08046953699372}"
583,679081,"{679081: 148.0111938847563, 686856: 53.33400408265753, 306553: 53.303690551260004, 801529: 52.48725295061075, 801530: 52.48725295061075}"
584,679085,"{679085: 161.9715357272124, 678849: 64.5582505402022, 678633: 60.55998389814204, 759185: 60.54423243880267, 793058: 59.40796198866634}"
585,679287,"{679287: 156.43559737119222, 679884: 63.98526534369519, 860709: 62.152806258389646, 680042: 61.880070483585236, 694743: 60.320913165124566}"
586,679311,"{679311: 141.82071232895302, 409927: 64.34008148496294, 731866: 64.1293450275843, 399364: 62.02284694960517, 674317: 61.13173823914445}"
587,679402,"{679402: 123.9269359505636, 400581: 30.213554723524766, 357124: 30.16426955262181, 650796: 29.060350072842013, 462040: 28.985001628187106}"
588,679406,"{679406: 84.40910781932351, 895630: 52.39915126430529, 759027: 51.695136335457896, 838937: 51.695136335457896, 702239: 50.57224710388205}"
589,679537,"{679537: 268.1743059575361, 782073: 59.57566346248664, 822561: 58.98154617205525, 679787: 58.49713267174023, 679860: 58.37532611921443}"
590,679611,"{679611: 161.35959218998292, 680019: 72.45955935854613, 680458: 61.62752592167903, 317468: 60.82914071877786, 679694: 58.86154063691582}"
591,679652,"{679652: 153.00019912982518, 455671: 56.055740668526624, 682279: 55.88924916811878, 773947: 54.31530507769726, 774566: 54.19597936035479}"
592,679656,"{679656: 86.93715899597714, 671079: 45.94572627669786, 677020: 45.829886040174955, 685842: 44.677016104289756, 670865: 42.898078719319734}"
593,679722,"{679722: 90.97509771416969, 858905: 61.69695829263392, 680725: 59.9512942498945, 853426: 59.76726165080802, 679860: 59.231344284255236}"
594,679811,"{679811: 146.24197558035297, 679722: 60.3818735542437, 768353: 60.10510931620456, 711696: 59.999463466527295, 684669: 59.25437171028409}"
595,680014,"{680014: 133.58831311437226, 649296: 71.97310647278174, 676758: 71.45251526371472, 706772: 67.82899846406181, 717115: 67.44979819334448}"
596,680019,"{680019: 105.29282641133545, 680458: 78.98099651291862, 679530: 69.78115362842595, 662020: 67.70342895145876, 679611: 61.939555308716024}"
597,680038,"{680038: 149.23834079084983, 677090: 53.179687608152996, 798382: 42.30907803530625, 314276: 42.08823853488703, 794441: 38.835273888749}"
598,680042,"{680042: 154.26794004875606, 841607: 62.004261278415726, 679287: 61.880070483585236, 735610: 61.567377743281796, 687404: 59.27091683322543}"
599,680261,"{680261: 219.58188994362285, 678391: 83.5168918677811, 287949: 80.69690777011522, 478600: 74.75370771627487, 680075: 72.62113571257271}"
600,680319,"{680319: 153.70211477734904, 673654: 62.73363963475161, 671789: 61.45862914343209, 780559: 59.48250162076426, 731737: 58.95797609306755}"
601,680333,"{680333: 79.85806659206101, 649307: 40.875428133835456, 635696: 40.76788542472061, 719916: 40.194192805474096, 764678: 39.73065751780148}"
602,680336,"{680336: 247.2590226397363, 654846: 89.20485791452053, 730222: 79.65163035641746, 552976: 76.3041812379964, 587501: 71.61994072006996}"
603,680387,"{680387: 149.07355914406358, 417134: 57.57360907709522, 888540: 56.9636537754928, 680624: 56.96086938937279, 414866: 55.81625684583034}"
604,680404,"{680404: 167.6849390245448, 926114: 57.303404291915776, 738627: 55.34222153504288, 739148: 54.96079775263551, 653759: 53.58013928914393}"
605,680414,"{680414: 157.3533860827238, 681233: 71.40084399592934, 708133: 62.01048584113367, 682543: 61.63703469442871, 845786: 61.50620214785251}"
606,680437,"{680437: 184.01189735362115, 665975: 56.66135323796985, 738191: 56.07284316166918, 253264: 55.69827900165326, 679594: 55.13253759141743}"
607,680458,"{680458: 152.06578796720405, 680019: 97.18621930939156, 679530: 75.4799875598121, 662020: 70.55836605814972, 525662: 67.19153494470015}"
608,680605,"{680605: 342.61754627248195, 539467: 73.77428090868233, 511964: 70.83500378969062, 835453: 68.2063141228318, 696684: 67.63878043618598}"
609,680650,"{680650: 243.57324266300702, 639636: 56.12198405147478, 628964: 55.43611434597116, 757231: 55.37297662927547, 527522: 54.12750138297518}"
610,680668,"{680668: 137.46132276234079, 695329: 55.4426144997993, 409418: 55.15016395897091, 621371: 54.72886802803758, 320937: 54.277263766388806}"
611,680677,"{680677: 149.25973441251097, 556689: 56.09476768120176, 471134: 54.581373568870134, 471308: 53.88094431277582, 303397: 53.78575252216714}"
612,680719,"{680719: 164.7521825016065, 500407: 69.21150914966535, 668094: 59.811833413572714, 250556: 55.783136856631145, 540492: 54.07802666560746}"
